OrderID,Date,Store,City,Quantity,PaymentMethod,CustomerType
145,2024-11-08,DailyNeeds,Pune,10,Cash,Member
146,2024-07-19,GreenBasket,Mumbai,2,Cash,Normal
147,2024-07-09,GreenBasket,Kolkata,5,Cash,Member
148,2024-08-01,CityGrocer,Mumbai,8,Cash,Normal
149,2024-08-15,UrbanFresh,Pune,2,Credit Card,Member
150,2024-11-24,UrbanFresh,Delhi,7,Debit Card,Member
151,2024-11-30,FreshMart,Bangalore,3,Credit Card,Normal
152,2024-11-30,FreshMart,Pune,8,Credit Card,Normal
153,2024-11-06,CityGrocer,Kolkata,1,Cash,Member
154,2024-07-31,GreenBasket,Bangalore,6,Credit Card,Normal
155,2024-08-20,CityGrocer,Delhi,7,UPI,Normal
156,2024-05-28,FreshMart,Delhi,9,Cash,Member
157,2024-05-08,UrbanFresh,Chennai,3,UPI,Member
158,2024-05-18,FreshMart,Hyderabad,5,UPI,Member
159,2024-11-05,DailyNeeds,Bangalore,3,Debit Card,Member
160,2024-11-28,DailyNeeds,Hyderabad,4,Credit Card,Normal
161,2024-02-16,UrbanFresh,Delhi,5,Cash,Normal
162,2024-12-02,DailyNeeds,Hyderabad,8,Credit Card,Normal
163,2024-01-29,DailyNeeds,Kolkata,7,Credit Card,Normal
164,2024-03-27,UrbanFresh,Bangalore,2,Credit Card,Member
165,2024-04-28,UrbanFresh,Chennai,4,UPI,Normal
166,2024-02-10,GreenBasket,Chennai,7,Credit Card,Member
167,2024-10-16,GreenBasket,Delhi,3,Credit Card,Normal
168,2024-03-26,UrbanFresh,Chennai,3,UPI,Member
169,2024-05-21,FreshMart,Delhi,7,Credit Card,Member
170,2024-11-09,GreenBasket,Kolkata,3,UPI,Member
171,2024-05-13,DailyNeeds,Bangalore,7,Cash,Member
172,2024-09-15,FreshMart,Hyderabad,6,UPI,Normal
173,2024-10-23,DailyNeeds,Kolkata,6,Cash,Member
174,2024-08-05,CityGrocer,Kolkata,8,Cash,Member
175,2024-06-14,GreenBasket,Bangalore,2,Credit Card,Normal
176,2024-01-22,GreenBasket,Mumbai,3,Credit Card,Member
177,2024-03-09,DailyNeeds,Mumbai,1,Debit Card,Normal
178,2024-05-22,GreenBasket,Kolkata,9,Debit Card,Normal
179,2024-03-13,DailyNeeds,Pune,2,Cash,Normal
180,2024-05-12,GreenBasket,Chennai,2,Debit Card,Normal
181,2024-02-20,UrbanFresh,Chennai,9,UPI,Normal
182,2024-11-15,CityGrocer,Chennai,5,Debit Card,Member
183,2024-03-01,FreshMart,Pune,10,Debit Card,Normal
184,2024-06-21,CityGrocer,Kolkata,6,Cash,Normal
185,2024-01-19,FreshMart,Chennai,5,Credit Card,Member
186,2024-01-07,CityGrocer,Kolkata,1,Credit Card,Member
187,2024-08-11,CityGrocer,Delhi,4,Cash,Normal
188,2024-08-23,UrbanFresh,Mumbai,10,UPI,Member
189,2024-03-15,UrbanFresh,Kolkata,3,UPI,Normal
190,2024-01-05,FreshMart,Mumbai,7,Cash,Member
191,2024-11-27,FreshMart,Kolkata,10,Credit Card,Member
192,2024-07-15,FreshMart,Bangalore,9,Debit Card,Normal
193,2024-01-23,UrbanFresh,Chennai,5,Cash,Normal
194,2024-10-14,FreshMart,Chennai,9,Debit Card,Normal
195,2024-10-24,UrbanFresh,Pune,3,UPI,Member
196,2024-11-16,FreshMart,Bangalore,7,Debit Card,Member
197,2024-11-15,FreshMart,Mumbai,6,UPI,Normal
198,2024-07-11,GreenBasket,Bangalore,3,Debit Card,Normal
199,2024-01-18,FreshMart,Pune,9,Credit Card,Normal
200,2024-07-20,CityGrocer,Pune,4,Debit Card,Member
201,2024-08-25,CityGrocer,Hyderabad,9,Credit Card,Normal
202,2024-12-16,FreshMart,Mumbai,3,Cash,Member
203,2024-03-14,DailyNeeds,Kolkata,9,Debit Card,Member
204,2024-08-19,GreenBasket,Kolkata,8,Debit Card,Normal
205,2024-06-19,UrbanFresh,Pune,1,Credit Card,Normal
206,2024-09-04,UrbanFresh,Hyderabad,9,Credit Card,Normal
207,2024-06-15,CityGrocer,Delhi,2,Credit Card,Member
208,2024-03-14,DailyNeeds,Chennai,9,Cash,Normal
209,2024-05-07,DailyNeeds,Delhi,4,Cash,Normal
210,2024-09-22,CityGrocer,Bangalore,2,UPI,Member
211,2024-04-18,UrbanFresh,Hyderabad,3,Cash,Member
212,2024-01-21,DailyNeeds,Mumbai,9,Debit Card,Normal
213,2024-03-07,FreshMart,Hyderabad,1,Cash,Normal
214,2024-10-15,DailyNeeds,Delhi,4,Cash,Member
215,2024-06-01,GreenBasket,Kolkata,7,Cash,Member
216,2024-04-19,FreshMart,Hyderabad,2,UPI,Normal
217,2024-01-14,UrbanFresh,Delhi,6,Cash,Normal
218,2024-04-02,UrbanFresh,Mumbai,7,UPI,Member
219,2024-08-04,GreenBasket,Mumbai,6,Cash,Normal
220,2024-04-14,FreshMart,Mumbai,7,Debit Card,Normal
221,2024-11-10,UrbanFresh,Pune,10,Credit Card,Member
222,2024-08-31,UrbanFresh,Kolkata,1,UPI,Member
223,2024-12-17,FreshMart,Kolkata,9,Credit Card,Member
224,2024-11-09,DailyNeeds,Chennai,4,UPI,Normal
225,2024-03-16,CityGrocer,Mumbai,5,Debit Card,Normal
226,2024-09-11,CityGrocer,Pune,9,Credit Card,Normal
227,2024-08-23,DailyNeeds,Hyderabad,10,Credit Card,Member
228,2024-03-24,UrbanFresh,Kolkata,4,Credit Card,Member
229,2024-09-30,DailyNeeds,Bangalore,10,UPI,Normal
230,2024-10-26,GreenBasket,Pune,7,Debit Card,Normal
231,2024-01-01,DailyNeeds,Bangalore,8,UPI,Member
232,2024-10-19,GreenBasket,Mumbai,10,UPI,Normal
233,2024-02-24,GreenBasket,Hyderabad,3,UPI,Normal
234,2024-04-14,UrbanFresh,Kolkata,4,UPI,Member
235,2024-09-02,FreshMart,Kolkata,7,Cash,Member
236,2024-05-03,GreenBasket,Mumbai,3,Credit Card,Normal
237,2024-04-29,CityGrocer,Bangalore,5,Credit Card,Normal
238,2024-07-23,GreenBasket,Hyderabad,9,Credit Card,Normal
239,2024-05-20,CityGrocer,Chennai,8,Credit Card,Member
240,2024-09-01,FreshMart,Kolkata,6,UPI,Member
241,2024-01-03,UrbanFresh,Pune,1,Cash,Member
242,2024-03-24,CityGrocer,Hyderabad,8,Debit Card,Member
243,2024-04-16,CityGrocer,Bangalore,10,Credit Card,Member
244,2024-08-31,DailyNeeds,Chennai,8,UPI,Normal
245,2024-12-27,GreenBasket,Delhi,10,UPI,Member
246,2024-11-10,FreshMart,Chennai,6,UPI,Normal
247,2024-10-23,FreshMart,Kolkata,9,Credit Card,Normal
248,2024-09-24,UrbanFresh,Hyderabad,4,Credit Card,Member
249,2024-03-29,GreenBasket,Delhi,3,UPI,Member
250,2024-07-14,DailyNeeds,Chennai,5,Cash,Member
251,2024-09-12,FreshMart,Delhi,2,UPI,Member
252,2024-08-10,DailyNeeds,Chennai,3,UPI,Member
253,2024-01-07,CityGrocer,Bangalore,3,Debit Card,Normal
254,2024-05-28,FreshMart,Mumbai,9,Cash,Member
255,2024-10-20,GreenBasket,Pune,10,Debit Card,Normal
256,2024-11-10,CityGrocer,Hyderabad,4,UPI,Member
257,2024-02-17,UrbanFresh,Pune,4,Credit Card,Member
258,2024-07-16,CityGrocer,Pune,7,Debit Card,Normal
259,2024-06-06,UrbanFresh,Pune,1,UPI,Normal
260,2024-10-30,DailyNeeds,Kolkata,4,Cash,Normal
261,2024-03-06,FreshMart,Delhi,6,Cash,Member
262,2024-09-26,CityGrocer,Hyderabad,7,Credit Card,Member
263,2024-05-10,CityGrocer,Mumbai,9,Debit Card,Member
264,2024-12-14,CityGrocer,Pune,5,Debit Card,Member
265,2024-11-09,GreenBasket,Kolkata,9,UPI,Member
266,2024-10-03,GreenBasket,Chennai,2,Cash,Normal
267,2024-03-09,GreenBasket,Chennai,3,Credit Card,Member
268,2024-03-02,FreshMart,Kolkata,10,UPI,Member
269,2024-10-29,CityGrocer,Mumbai,6,Debit Card,Normal
270,2024-04-07,GreenBasket,Bangalore,7,Debit Card,Normal
271,2024-04-09,GreenBasket,Mumbai,7,Cash,Normal
272,2024-10-14,UrbanFresh,Hyderabad,2,Cash,Normal
273,2024-06-12,UrbanFresh,Pune,3,Credit Card,Member
274,2024-12-12,UrbanFresh,Chennai,7,Cash,Member
275,2024-01-05,CityGrocer,Pune,4,Debit Card,Normal
276,2024-10-20,DailyNeeds,Chennai,7,UPI,Member
277,2024-04-21,UrbanFresh,Bangalore,2,Debit Card,Normal
278,2024-10-01,UrbanFresh,Bangalore,2,Credit Card,Member
279,2024-04-14,DailyNeeds,Chennai,9,Debit Card,Member
280,2024-12-18,DailyNeeds,Bangalore,5,Cash,Member
281,2024-07-26,UrbanFresh,Pune,9,Cash,Member
282,2024-03-17,DailyNeeds,Mumbai,3,UPI,Member
283,2024-02-23,FreshMart,Mumbai,8,Cash,Member
284,2024-02-03,UrbanFresh,Chennai,3,Credit Card,Member
285,2024-06-05,CityGrocer,Bangalore,6,UPI,Member
286,2024-04-04,CityGrocer,Mumbai,4,UPI,Normal
287,2024-03-20,CityGrocer,Delhi,2,Cash,Normal
288,2024-09-18,CityGrocer,Delhi,2,Cash,Member
289,2024-11-20,UrbanFresh,Chennai,4,UPI,Member
290,2024-07-08,DailyNeeds,Bangalore,2,Debit Card,Normal
291,2024-02-20,GreenBasket,Hyderabad,4,Debit Card,Normal
292,2024-11-21,UrbanFresh,Delhi,8,Cash,Member
293,2024-12-20,DailyNeeds,Mumbai,7,Cash,Normal
294,2024-01-05,DailyNeeds,Delhi,1,UPI,Normal
295,2024-02-03,GreenBasket,Chennai,7,Credit Card,Member
296,2024-03-30,GreenBasket,Bangalore,7,Debit Card,Member
297,2024-07-16,GreenBasket,Pune,5,UPI,Member
298,2024-04-03,CityGrocer,Pune,1,Debit Card,Member
299,2024-03-28,GreenBasket,Delhi,8,Debit Card,Member
300,2024-08-04,DailyNeeds,Delhi,1,Debit Card,Member
301,2024-05-21,GreenBasket,Delhi,10,Cash,Member
302,2024-04-29,UrbanFresh,Mumbai,7,Cash,Normal
303,2024-09-01,DailyNeeds,Pune,7,Credit Card,Member
304,2024-05-23,DailyNeeds,Delhi,6,UPI,Member
305,2024-08-26,UrbanFresh,Mumbai,8,Cash,Normal
306,2024-11-10,CityGrocer,Bangalore,10,Cash,Normal
307,2024-02-02,CityGrocer,Bangalore,3,Credit Card,Member
308,2024-02-11,UrbanFresh,Kolkata,7,UPI,Member
309,2024-08-07,GreenBasket,Pune,6,Cash,Normal
310,2024-08-14,GreenBasket,Delhi,10,Credit Card,Member
311,2024-09-15,FreshMart,Bangalore,6,Credit Card,Normal
312,2024-04-28,CityGrocer,Bangalore,3,Credit Card,Member
313,2024-10-13,GreenBasket,Bangalore,9,Debit Card,Normal
314,2024-12-30,GreenBasket,Chennai,4,UPI,Member
315,2024-05-19,CityGrocer,Hyderabad,4,Cash,Normal
316,2024-10-14,FreshMart,Bangalore,9,Cash,Member
317,2024-03-16,GreenBasket,Bangalore,10,Credit Card,Normal
318,2024-09-14,UrbanFresh,Chennai,7,UPI,Normal
319,2024-06-14,CityGrocer,Chennai,5,Debit Card,Normal
320,2024-03-04,GreenBasket,Pune,7,Cash,Normal
321,2024-01-26,CityGrocer,Kolkata,7,Debit Card,Normal
322,2024-02-08,GreenBasket,Mumbai,5,UPI,Normal
323,2024-08-01,GreenBasket,Mumbai,1,Credit Card,Normal
324,2024-04-18,CityGrocer,Pune,8,Cash,Member
325,2024-08-03,CityGrocer,Mumbai,8,Credit Card,Normal
326,2024-07-21,CityGrocer,Chennai,6,Cash,Normal
327,2024-05-01,DailyNeeds,Hyderabad,4,Credit Card,Member
328,2024-08-22,CityGrocer,Kolkata,4,UPI,Member
329,2024-11-07,GreenBasket,Bangalore,7,UPI,Member
330,2024-08-16,CityGrocer,Bangalore,7,Credit Card,Member
331,2024-05-05,DailyNeeds,Hyderabad,10,UPI,Member
332,2024-12-19,CityGrocer,Hyderabad,8,Cash,Member
333,2024-06-12,FreshMart,Chennai,3,Credit Card,Normal
334,2024-01-28,CityGrocer,Mumbai,8,Cash,Member
335,2024-09-18,DailyNeeds,Delhi,7,Debit Card,Member
336,2024-11-28,UrbanFresh,Chennai,1,Cash,Normal
337,2024-04-14,CityGrocer,Mumbai,4,Debit Card,Normal
338,2024-10-29,FreshMart,Mumbai,9,Cash,Normal
339,2024-02-04,DailyNeeds,Chennai,7,Credit Card,Normal
340,2024-10-08,FreshMart,Chennai,2,Cash,Member
341,2024-11-30,UrbanFresh,Mumbai,10,Cash,Normal
342,2024-06-06,UrbanFresh,Hyderabad,10,Debit Card,Normal
343,2024-07-06,UrbanFresh,Kolkata,9,Cash,Member
344,2024-09-29,UrbanFresh,Hyderabad,1,Credit Card,Normal
345,2024-11-05,CityGrocer,Delhi,9,Cash,Normal
346,2024-01-25,FreshMart,Bangalore,9,Credit Card,Member
347,2024-11-30,GreenBasket,Hyderabad,8,UPI,Normal
348,2024-02-08,DailyNeeds,Delhi,5,Debit Card,Normal
349,2024-02-07,CityGrocer,Chennai,5,Debit Card,Member
350,2024-02-03,GreenBasket,Kolkata,4,Credit Card,Member
351,2024-04-26,UrbanFresh,Delhi,9,Cash,Member
352,2024-12-09,UrbanFresh,Kolkata,3,Cash,Member
353,2024-04-17,CityGrocer,Pune,7,UPI,Normal
354,2024-12-04,DailyNeeds,Bangalore,1,Debit Card,Member
355,2024-12-24,GreenBasket,Mumbai,10,Debit Card,Normal
356,2024-08-21,GreenBasket,Bangalore,5,UPI,Normal
357,2024-07-25,FreshMart,Chennai,6,Cash,Normal
358,2024-02-18,CityGrocer,Bangalore,1,Cash,Member
359,2024-01-06,UrbanFresh,Kolkata,6,Credit Card,Normal
360,2024-03-15,UrbanFresh,Hyderabad,3,Debit Card,Member
361,2024-02-10,GreenBasket,Delhi,8,Cash,Normal
362,2024-08-21,CityGrocer,Pune,1,Cash,Member
363,2024-06-15,CityGrocer,Hyderabad,7,Debit Card,Member
364,2024-12-19,DailyNeeds,Hyderabad,3,Cash,Member
365,2024-05-09,DailyNeeds,Kolkata,7,Credit Card,Member
366,2024-10-18,DailyNeeds,Chennai,7,UPI,Normal
367,2024-12-05,CityGrocer,Chennai,4,Debit Card,Member
368,2024-07-18,DailyNeeds,Pune,5,Credit Card,Normal
369,2024-08-25,GreenBasket,Bangalore,10,Credit Card,Member
370,2024-11-08,FreshMart,Bangalore,9,Debit Card,Normal
371,2024-05-02,CityGrocer,Chennai,6,UPI,Member
372,2024-09-17,UrbanFresh,Chennai,1,Cash,Member
373,2024-01-17,UrbanFresh,Mumbai,1,UPI,Member
374,2024-04-03,UrbanFresh,Pune,2,Cash,Normal
375,2024-03-11,UrbanFresh,Chennai,7,Cash,Member
376,2024-11-26,FreshMart,Pune,9,Credit Card,Member
377,2024-03-28,UrbanFresh,Chennai,3,UPI,Member
378,2024-09-06,UrbanFresh,Chennai,10,UPI,Normal
379,2024-10-05,CityGrocer,Bangalore,7,UPI,Normal
380,2024-10-23,CityGrocer,Kolkata,7,Debit Card,Member
381,2024-10-10,UrbanFresh,Pune,6,Debit Card,Normal
382,2024-12-07,CityGrocer,Chennai,9,Cash,Member
383,2024-09-23,DailyNeeds,Pune,4,UPI,Normal
384,2024-10-28,GreenBasket,Hyderabad,10,Cash,Member
385,2024-05-10,CityGrocer,Hyderabad,1,Cash,Normal
386,2024-10-24,GreenBasket,Kolkata,3,Cash,Normal
387,2024-10-09,FreshMart,Hyderabad,1,Debit Card,Member
388,2024-01-24,CityGrocer,Chennai,2,Credit Card,Normal
389,2024-03-12,UrbanFresh,Hyderabad,3,Debit Card,Member
390,2024-04-16,FreshMart,Bangalore,9,UPI,Normal
391,2024-03-03,DailyNeeds,Delhi,3,Debit Card,Member
392,2024-08-07,UrbanFresh,Pune,7,UPI,Normal
393,2024-03-03,CityGrocer,Mumbai,4,Credit Card,Member
394,2024-02-29,GreenBasket,Bangalore,7,UPI,Member
395,2024-05-27,GreenBasket,Delhi,10,Credit Card,Member
396,2024-02-08,GreenBasket,Delhi,8,Debit Card,Normal
397,2024-05-20,CityGrocer,Kolkata,10,Cash,Member
398,2024-12-30,CityGrocer,Mumbai,1,Debit Card,Normal
399,2024-09-30,CityGrocer,Hyderabad,10,Cash,Member
400,2024-04-01,FreshMart,Chennai,10,UPI,Normal
401,2024-09-21,FreshMart,Kolkata,1,Debit Card,Normal
402,2024-06-01,CityGrocer,Hyderabad,7,UPI,Member
403,2024-12-28,GreenBasket,Bangalore,10,UPI,Normal
404,2024-12-16,FreshMart,Delhi,2,UPI,Member
405,2024-02-22,CityGrocer,Kolkata,6,Cash,Member
406,2024-04-23,CityGrocer,Chennai,1,Cash,Normal
407,2024-05-05,FreshMart,Bangalore,6,UPI,Normal
408,2024-06-21,CityGrocer,Hyderabad,4,Debit Card,Member
409,2024-10-12,DailyNeeds,Kolkata,4,Cash,Member
410,2024-04-01,GreenBasket,Mumbai,6,UPI,Normal
411,2024-07-30,UrbanFresh,Mumbai,10,Credit Card,Normal
412,2024-10-14,DailyNeeds,Kolkata,8,Cash,Member
413,2024-09-20,GreenBasket,Kolkata,4,Debit Card,Normal
414,2024-02-25,FreshMart,Pune,3,UPI,Member
415,2024-08-01,GreenBasket,Kolkata,4,Debit Card,Normal
416,2024-10-14,FreshMart,Mumbai,3,Credit Card,Normal
417,2024-09-03,UrbanFresh,Chennai,5,Debit Card,Normal
418,2024-07-13,DailyNeeds,Delhi,1,UPI,Normal
419,2024-09-28,GreenBasket,Pune,6,Cash,Member
420,2024-01-08,DailyNeeds,Delhi,1,Credit Card,Normal
421,2024-06-12,UrbanFresh,Mumbai,5,Debit Card,Member
422,2024-09-06,DailyNeeds,Mumbai,1,Debit Card,Member
423,2024-09-17,GreenBasket,Pune,6,Debit Card,Normal
424,2024-11-04,UrbanFresh,Hyderabad,3,UPI,Member
425,2024-06-07,FreshMart,Hyderabad,7,Cash,Member
426,2024-01-30,GreenBasket,Delhi,5,Credit Card,Member
427,2024-11-05,DailyNeeds,Bangalore,9,Credit Card,Member
428,2024-09-02,GreenBasket,Delhi,3,Credit Card,Member
429,2024-11-15,UrbanFresh,Pune,8,Credit Card,Normal
430,2024-07-04,DailyNeeds,Kolkata,9,Cash,Normal
431,2024-08-03,FreshMart,Hyderabad,2,UPI,Member
432,2024-06-02,CityGrocer,Kolkata,1,UPI,Member
433,2024-01-26,CityGrocer,Bangalore,7,UPI,Normal
434,2024-06-02,FreshMart,Mumbai,7,UPI,Normal
435,2024-07-01,GreenBasket,Hyderabad,2,Debit Card,Normal
436,2024-04-22,GreenBasket,Pune,1,UPI,Normal
437,2024-11-11,GreenBasket,Mumbai,6,UPI,Member
438,2024-01-25,DailyNeeds,Hyderabad,7,Debit Card,Normal
439,2024-01-14,CityGrocer,Bangalore,3,UPI,Member
440,2024-03-22,GreenBasket,Delhi,9,Debit Card,Member
441,2024-01-08,DailyNeeds,Pune,5,Credit Card,Normal
442,2024-05-31,FreshMart,Kolkata,6,Debit Card,Member
443,2024-05-29,DailyNeeds,Pune,3,Debit Card,Normal
444,2024-06-29,UrbanFresh,Mumbai,2,Debit Card,Normal
445,2024-02-17,DailyNeeds,Hyderabad,2,Credit Card,Member
446,2024-07-07,CityGrocer,Bangalore,4,Debit Card,Normal
447,2024-04-12,UrbanFresh,Kolkata,6,Debit Card,Normal
448,2024-06-03,DailyNeeds,Kolkata,7,Cash,Member
449,2024-06-16,DailyNeeds,Mumbai,1,Debit Card,Member
450,2024-12-28,CityGrocer,Hyderabad,7,Cash,Member
451,2024-03-03,GreenBasket,Hyderabad,8,Cash,Normal
452,2024-08-23,CityGrocer,Kolkata,3,Debit Card,Member
453,2024-03-08,GreenBasket,Hyderabad,4,Cash,Member
454,2024-01-05,UrbanFresh,Mumbai,6,Credit Card,Normal
455,2024-03-23,FreshMart,Bangalore,10,Cash,Member
456,2024-12-01,UrbanFresh,Hyderabad,9,Cash,Normal
457,2024-12-23,GreenBasket,Mumbai,10,Debit Card,Normal
458,2024-01-28,CityGrocer,Bangalore,2,UPI,Member
459,2024-03-11,DailyNeeds,Kolkata,9,UPI,Normal
460,2024-12-28,CityGrocer,Mumbai,3,Credit Card,Normal
461,2024-06-27,CityGrocer,Hyderabad,7,Debit Card,Normal
462,2024-03-22,FreshMart,Kolkata,8,UPI,Member
463,2024-09-19,DailyNeeds,Bangalore,9,Debit Card,Member
464,2024-12-05,FreshMart,Bangalore,4,Cash,Member
465,2024-01-28,UrbanFresh,Hyderabad,8,Cash,Member
466,2024-08-08,CityGrocer,Pune,8,Credit Card,Member
467,2024-06-10,FreshMart,Kolkata,3,Debit Card,Member
468,2024-09-22,CityGrocer,Delhi,7,Debit Card,Normal
469,2024-04-30,CityGrocer,Hyderabad,4,Cash,Normal
470,2024-03-20,CityGrocer,Delhi,7,Credit Card,Normal
471,2024-04-20,GreenBasket,Chennai,6,Cash,Normal
472,2024-11-09,DailyNeeds,Chennai,8,Credit Card,Normal
473,2024-07-06,FreshMart,Kolkata,5,Debit Card,Member
474,2024-07-26,DailyNeeds,Hyderabad,9,Cash,Member
475,2024-12-11,GreenBasket,Hyderabad,5,Cash,Member
476,2024-07-26,FreshMart,Bangalore,3,Cash,Normal
477,2024-05-30,FreshMart,Chennai,10,Debit Card,Member
478,2024-02-11,DailyNeeds,Chennai,5,UPI,Member
479,2024-03-19,FreshMart,Hyderabad,3,UPI,Member
480,2024-10-02,GreenBasket,Bangalore,6,Credit Card,Normal
481,2024-01-31,CityGrocer,Pune,8,Cash,Normal
482,2024-04-28,FreshMart,Hyderabad,7,Credit Card,Normal
483,2024-08-26,CityGrocer,Kolkata,1,Cash,Member
484,2024-03-11,DailyNeeds,Bangalore,7,Credit Card,Normal
485,2024-05-13,CityGrocer,Delhi,3,UPI,Member
486,2024-09-25,DailyNeeds,Chennai,1,Debit Card,Normal
487,2024-06-21,GreenBasket,Pune,3,Credit Card,Member
488,2024-05-08,FreshMart,Pune,6,Credit Card,Normal
489,2024-02-01,UrbanFresh,Chennai,3,Credit Card,Normal
490,2024-06-12,CityGrocer,Chennai,6,Debit Card,Member
491,2024-05-15,UrbanFresh,Hyderabad,8,Cash,Normal
492,2024-08-28,DailyNeeds,Kolkata,7,Credit Card,Normal
493,2024-09-14,CityGrocer,Bangalore,9,Credit Card,Member
494,2024-03-20,CityGrocer,Delhi,9,Cash,Normal
495,2024-10-29,GreenBasket,Hyderabad,8,Cash,Member
496,2024-03-21,DailyNeeds,Mumbai,5,Credit Card,Normal
497,2024-04-03,UrbanFresh,Delhi,10,Cash,Normal
498,2024-07-03,DailyNeeds,Bangalore,3,UPI,Normal
499,2024-12-06,UrbanFresh,Kolkata,5,UPI,Normal
500,2024-09-07,DailyNeeds,Chennai,4,UPI,Member
501,2024-01-30,DailyNeeds,Chennai,8,UPI,Normal
502,2024-02-26,FreshMart,Bangalore,2,UPI,Member
503,2024-09-01,FreshMart,Hyderabad,2,Credit Card,Normal
504,2024-06-08,GreenBasket,Kolkata,10,Debit Card,Member
505,2024-12-10,UrbanFresh,Chennai,7,UPI,Member
506,2024-05-27,FreshMart,Chennai,3,Debit Card,Member
507,2024-03-11,FreshMart,Bangalore,9,Credit Card,Normal
508,2024-05-31,GreenBasket,Bangalore,7,UPI,Normal
509,2024-05-14,FreshMart,Delhi,10,Cash,Member
510,2024-09-06,FreshMart,Chennai,4,Credit Card,Normal
511,2024-06-13,UrbanFresh,Pune,5,UPI,Member
512,2024-06-19,FreshMart,Kolkata,2,Cash,Member
513,2024-01-18,GreenBasket,Chennai,7,Debit Card,Normal
514,2024-08-30,GreenBasket,Pune,2,UPI,Normal
515,2024-05-11,GreenBasket,Chennai,7,Credit Card,Member
516,2024-10-08,DailyNeeds,Mumbai,6,Credit Card,Normal
517,2024-12-24,FreshMart,Pune,4,UPI,Member
518,2024-01-24,FreshMart,Chennai,6,UPI,Normal
519,2024-12-16,CityGrocer,Pune,2,Credit Card,Member
520,2024-03-29,DailyNeeds,Chennai,8,Cash,Member
521,2024-07-01,FreshMart,Chennai,1,Credit Card,Normal
522,2024-09-06,GreenBasket,Pune,3,Credit Card,Normal
523,2024-10-22,CityGrocer,Hyderabad,7,Debit Card,Member
524,2024-03-06,CityGrocer,Pune,10,Debit Card,Normal
525,2024-07-16,UrbanFresh,Mumbai,9,Cash,Normal
526,2024-11-21,UrbanFresh,Hyderabad,1,UPI,Member
527,2024-04-18,GreenBasket,Mumbai,3,Credit Card,Member
528,2024-02-20,DailyNeeds,Bangalore,9,Cash,Normal
529,2024-06-17,GreenBasket,Pune,5,Cash,Member
530,2024-09-09,GreenBasket,Mumbai,3,Cash,Member
531,2024-08-15,GreenBasket,Mumbai,6,Cash,Normal
532,2024-08-17,GreenBasket,Pune,2,Credit Card,Normal
533,2024-02-19,DailyNeeds,Pune,10,Credit Card,Member
